"table","rls_enabled","policy_count","anon_select","owner_select","other_user_select","write_policies","admin_path","notes"
"managed_listing_requests","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"marketplace_feature_controls","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"marketplace_image_upload_intents","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"marketplace_operational_controls","YES","4","yes: marketplace_operational_controls_public_r","no","open","marketplace_operational_controls_admin_insert, marketplace_o","yes",""
"neighbourhoods","YES","4","no","no","conditional","neighbourhoods_admin_insert, neighbourhoods_admin_update, ne","yes",""
"operational_alerts","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"operational_metric_buckets","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"payments","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"peek_request_fulfilments","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"peek_request_responses","YES","1","yes: peek_request_responses_read","no","open","NONE — all writes via SECURITY DEFINER RPC","no",""
"peek_request_supporters","YES","3","no","yes","deny","peek_request_supporters_create, peek_request_supporters_with","yes",""
"peek_requests","YES","4","yes: peek_requests_public_read","yes","deny","peek_requests_admin_update, peek_requests_create","yes",""
"peek_response_binding_intents","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"practitioner_payouts","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"practitioner_reviews","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"private.location_registry_admin1_syncs","NO (private schema)","0","no","no","deny","n/a","n/a","Private schema — not exposed via PostgREST; verify api.schemas excludes private (E-004)"
"private.location_registry_country_syncs","NO (private schema)","0","no","no","deny","n/a","n/a","Private schema — not exposed via PostgREST; verify api.schemas excludes private (E-004)"
"property_details","YES","3","yes: property_details_follow_listing","no","open","property_details_owner_write, property_details_owner_update","yes",""
"recommendation_cache","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_configuration_audit","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_context_rules","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_contexts","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_events","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","no",""
"recommendation_events_default","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_personalization_preferences","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","no",""
"recommendation_popularity_daily","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_projection_dead_letters","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_projection_jobs","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_relationships","YES","1","yes: recommendation_relationships_public_read","no","open","NONE — all writes via SECURITY DEFINER RPC","no",""
"recommendation_request_budget","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_service_circuit_state","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_service_metrics_daily","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_service_policies","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"recommendation_taxonomy_nodes","YES","1","yes: recommendation_taxonomy_public_read","no","open","NONE — all writes via SECURITY DEFINER RPC","no",""
"recommendation_weight_profiles","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"reports","YES","3","no","yes","deny","reports_create, reports_admin_update","yes",""
"reviews","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"saved_listings","YES","3","no","yes","deny","saved_listings_owner_delete, saved_listings_owner_insert","no",""
"seller_ratings","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"service_bookings","YES","1","no","no","conditional","service_bookings_admin_only","yes",""
"service_disputes","YES","1","no","no","conditional","service_disputes_admin_only","yes",""
"service_media","YES","1","no","yes","deny","NONE — all writes via SECURITY DEFINER RPC","yes",""
"services","YES","4","no","yes","deny","services_owner_write, services_owner_update, services_owner_","yes",""
"subscriptions","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"support_agents","YES","1","no","no","conditional","support_agents_admin_only","yes",""
"support_messages","YES","1","no","no","conditional","support_messages_admin_only","yes",""
"support_requests","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"support_settings","YES","1","no","no","conditional","support_settings_admin_only","yes",""
"support_tickets","YES","1","no","no","conditional","support_tickets_admin_only","yes",""
"terms","YES","4","no","no","conditional","terms_admin_insert, terms_admin_update, terms_admin_delete","yes",""
"ticket_activity_log","YES","1","no","no","conditional","NONE — all writes via SECURITY DEFINER RPC","yes",""
"ticket_attachments","YES","1","no","no","conditional","ticket_attachments_admin_only","yes",""
"ticket_templates","YES","1","no","no","conditional","ticket_templates_admin_only","yes",""
"tour_asset_cleanup_queue","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"tour_cache_invalidations","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"tour_view_events","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"user_presence","YES","1","no","no","conditional","user_presence_admin_only","yes",""
"users","YES","2","no","yes","deny","users_update_own_or_admin","yes",""
"verification_requests","YES","1","no","no","conditional","verification_requests_admin_only","yes",""
"web_push_delivery_jobs","YES","0","no","no","deny","NONE — all writes via SECURITY DEFINER RPC","no","RLS on with zero policies => deny-all for anon and authenticated"
"web_push_subscriptions","YES","1","no","yes","deny","users_manage_own_web_push_subscriptions","no",""
